,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,pipe_qualification,pipe_rank,pipe_exception,pipe_financial_score,pipe_technical_score,pipe_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,waterproof_qualification,waterproof_rank,waterproof_exception,waterproof_financial_score,waterproof_technical_score,waterproof_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,others_qualification,others_rank,others_exception,others_financial_score,others_technical_score,others_total_score,date
0,あおみ・道南綜合・濱谷　経常ＪＶ,河邊　知之,東京都千代田区外神田二丁目２－３,59-00941,A,36,,1517,923,2440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210521
1,あおみ建設（株）,河邊　知之,東京都千代田区外神田二丁目２－３,11-00138,A,34,,1583,861,2444,C,337,,1130,0,1130,B,259,,947,0,947,○,99,,1085,0,1085,○,73,,1151,0,1151,○,5,,1386,961,2347,,,,,,,A,164,,1197,0,1197,,,,,,,,,,,,,○,147,,908,0,908,,,,,,,,,,,,,○,45,,1247,0,1247,○,314,,1247,0,1247,,,,,,,20210521
2,荒井建設（株）,荒井　保明,北海道旭川市４条西２－２－２,25-00197,A,42,,1227,1149,2376,B,257,,1214,0,1214,A,32,,1114,825,1939,○,49,,1001,272,1273,,,,,,,,,,,,,,,,,,,C,863,,791,0,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,108,,998,0,998,○,489,,998,0,998,,,,,,,20210521
3,（株）安藤・間,福富　正人,東京都港区赤坂６－１－２０,11-02526,A,18,,1913,733,2646,B,33,,1932,0,1932,B,138,,1209,0,1209,○,47,,1283,0,1283,○,19,,1546,0,1546,○,49,,1202,0,1202,○,93,,1279,0,1279,A,54,,1500,0,1500,B,207,,1327,0,1327,○,49,,1203,0,1203,○,40,,1200,0,1200,○,8,,1113,0,1113,,,,,,,○,14,,1440,0,1440,○,217,,1435,0,1435,,,,,,,20210521
4,勇・酒井　経常ＪＶ,坂　昭弘,北海道札幌市中央区北６条西１４－４,59-00942,A,54,,1235,1077,2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210521
5,勇・真壁・本田　経常ＪＶ,坂　昭弘,北海道札幌市中央区北６条西１４－４,59-00943,A,66,,1250,1009,2259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210521
6,勇建設（株）,坂　昭弘,北海道札幌市中央区北６条西１４－４,21-00209,A,45,,1201,1149,2350,,,,,,,B,333,,884,0,884,○,241,,875,0,875,○,144,,933,0,933,○,31,,985,447,1432,,,,,,,B,556,,875,0,875,,,,,,,,,,,,,○,268,,778,0,778,,,,,,,,,,,,,○,109,,996,0,996,○,491,,996,0,996,,,,,,,20210521
7,伊藤・アスワン　経常ＪＶ,玉木　勝美,北海道札幌市中央区北四条西４－１,59-00945,A,38,,1397,1023,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210521
8,伊藤組土建（株）,玉木　勝美,北海道札幌市中央区北四条西４－１,21-00092,A,15,,1421,1267,2688,A,6,,1455,1217,2672,B,333,,884,0,884,○,37,,1175,232,1407,○,100,,1028,0,1028,○,156,,821,0,821,○,134,,1174,0,1174,B,320,,1000,0,1000,B,324,,1161,0,1161,○,217,,863,0,863,○,199,,829,0,829,○,36,,902,0,902,,,,,,,○,73,,1113,0,1113,○,402,,1113,0,1113,,,,,,,20210521
9,岩倉建設（株）,鈴木　泰至,北海道札幌市中央区南一条西７－１６－２,26-00157,A,20,,1323,1271,2594,B,210,,1296,0,1296,B,432,,826,0,826,○,44,,1055,257,1312,○,29,,970,458,1428,○,13,,965,948,1913,,,,,,,C,645,,847,0,847,,,,,,,○,254,,830,0,830,○,216,,815,0,815,○,48,,841,0,841,,,,,,,○,90,,1052,0,1052,○,386,,1132,0,1132,,,,,,,20210521
10,岩田地崎・伊豆倉　経常ＪＶ,岩田　圭剛,北海道札幌市中央区北二条東１７－２,59-00931,A,21,,1583,986,2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210521
11,岩田地崎・中村　経常ＪＶ,岩田　圭剛,北海道札幌市中央区北二条東１７－２,59-00930,A,19,,1577,1039,2616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210521
12,岩田地崎建設（株）,岩田　圭剛,北海道札幌市中央区北二条東１７－２,21-00463,A,6,,1616,1260,2876,A,4,,1652,1187,2839,B,240,,968,0,968,○,24,,1299,282,1581,○,70,,1153,0,1153,○,110,,917,0,917,○,132,,1177,0,1177,A,86,,1358,0,1358,,,,,,,○,148,,939,0,939,○,139,,917,0,917,○,28,,938,0,938,,,,,,,○,41,,1256,0,1256,○,272,,1340,0,1340,,,,,,,20210521
13,（株）大林組,蓮輪　賢治,東京都港区港南２－１５－２,11-00084,A,2,,2018,1036,3054,A,21,,2042,0,2042,B,93,,1413,0,1413,○,20,,1682,0,1682,○,2,,1745,914,2659,○,35,,1397,0,1397,○,22,,1759,0,1759,A,10,,1889,0,1889,A,52,,1855,0,1855,,,,,,,○,22,,1299,0,1299,○,3,,1189,0,1189,,,,,,,○,2,,1770,0,1770,○,52,,1685,0,1685,,,,,,,20210521
14,（株）奥村組,奥村　太加典,大阪府大阪市阿倍野区松崎町２－２－２,11-00033,A,33,,1806,640,2446,B,46,,1844,0,1844,B,163,,1104,0,1104,○,52,,1245,0,1245,○,43,,1316,0,1316,○,52,,1173,0,1173,○,138,,1163,0,1163,A,71,,1414,0,1414,B,284,,1208,0,1208,,,,,,,○,72,,1063,0,1063,,,,,,,,,,,,,○,26,,1358,0,1358,○,149,,1535,0,1535,,,,,,,20210521
15,小野寺・荒井・札建　経常ＪＶ,小野寺　俊,北海道釧路市阿寒町富士見３－９－１２,59-00948,A,57,,1372,930,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210521
16,萩原・釧石　経常ＪＶ,萩原　一利,北海道帯広市東７条南８－２,59-00932,A,61,,1244,1031,2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210521
17,萩原・菱中　経常ＪＶ,萩原　一利,北海道帯広市東７条南８－２,59-00915,A,44,,1311,1047,2358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210521
